elapsedTime,frq_rt, col_rt, frq_m, col_m, amp_rt, amp_m, total, framerate;
11340,51.747787,231.53337,2.6739228,8.992895,1.1654947E-4,0.43486854,50,8.143267;
11447,51.747787,231.53337,2.796458,9.548568,1.0644818E-4,0.43338928,50,8.233921;
11541,51.747787,231.53337,2.9174159,10.097088,1.4821457E-4,0.4333264,50,8.3495245;
11662,51.747787,231.53337,3.0390496,10.648674,1.008471E-4,0.43219066,50,8.559844;
11769,51.747787,231.53337,3.162258,11.207399,1.1018684E-4,0.43137714,50,8.542344;
11872,51.747787,231.53337,3.2840736,11.75981,1.0317052E-4,0.42986184,50,8.627598;
11982,52.153854,231.53561,3.4067981,12.21928,2.6109142E-4,0.4293034,50,8.702978;
12114,61.140053,231.57759,3.5394146,10.91273,0.0013843428,0.42706484,50,8.764251;
12233,66.457695,231.597,3.689497,10.559725,3.1561207E-4,0.42625394,50,8.645871;
12341,66.457695,231.597,3.8466227,11.11304,1.6918237E-4,0.42495683,50,8.620483;
12441,66.457695,231.597,4.003618,11.665896,1.7603116E-4,0.42391756,50,8.689587;
12544,66.457695,231.597,4.1603823,12.21794,2.076414E-4,0.4217841,50,8.8080435;
12652,66.5008,231.59715,4.3182178,12.765397,3.979016E-4,0.42170754,50,8.903989;
12775,66.5008,231.59715,4.4754767,13.318819,1.5402565E-4,0.421421,50,8.9404335;
12879,66.5008,231.59715,4.631571,13.868142,1.15629264E-4,0.41952088,50,8.858278;
12985,66.5008,231.59715,4.788058,14.418848,1.8621236E-4,0.417572,50,8.940358;
13086,68.54044,231.60379,4.947102,14.528696,0.0010012041,0.41632995,50,8.984872;
13210,68.54044,231.60379,5.108633,15.08008,-2.9423667E-5,0.41396576,50,9.07156;
13299,78.76362,231.63185,5.281726,13.620563,0.0015545199,0.41296154,50,8.978289;
13418,84.88655,231.64539,5.475819,13.164783,0.0012435289,0.41274574,50,9.197039;
13510,92.23678,231.65926,5.6861706,12.640805,0.0014044091,0.41088086,50,9.111212;
13609,107.57504,231.68205,5.9229755,11.341167,0.0016280746,0.4091347,50,9.3056555;
13717,116.96794,231.69304,6.189644,10.956882,0.0013736882,0.40831858,50,9.374541;
13838,116.96794,231.69304,6.467896,11.511326,-2.2277818E-5,0.4063187,50,9.36302;
13951,116.96794,231.69304,6.745581,12.064638,2.311484E-4,0.4039575,50,9.260742;
14068,125.9605,231.70203,7.0337906,11.732085,0.0012825663,0.40185148,50,9.206901;
14174,139.86017,231.71361,7.3489585,11.085607,0.0014846744,0.40100285,50,9.129554;
14267,148.23724,231.71954,7.691286,10.994101,7.662977E-4,0.40081176,50,9.189988;
14350,148.23724,231.71954,8.04366,11.547499,9.3488285E-5,0.3997603,50,9.343752;
14446,160.91313,231.72733,8.410261,11.164494,0.0011984425,0.39788863,50,9.613392;
14538,172.1552,231.73329,8.804891,10.966102,0.0011356864,0.3962493,50,9.672838;
14625,182.62834,231.73819,9.227087,10.872823,0.001224536,0.39480203,50,9.810413;
14724,190.19048,231.74138,9.668908,10.979385,0.001145093,0.39417428,50,9.986364;
14822,190.19048,231.74138,10.121143,11.53243,1.708885E-4,0.393764,50,9.968761;
14917,190.19048,231.74138,10.572875,12.084858,2.0762274E-4,0.39255276,50,9.999164;
15016,190.19048,231.74138,11.024501,12.6371565,1.6242405E-4,0.39200813,50,10.075418;
15102,190.19048,231.74138,11.47637,13.189753,1.5922215E-4,0.39112005,50,10.063717;
15204,190.19048,231.74138,11.927794,13.741805,1.5029988E-4,0.38914594,50,10.236283;
15289,190.19048,231.74138,12.380098,14.294932,1.715234E-4,0.38831958,50,10.182533;
15376,190.19048,231.74138,12.832922,14.848696,3.5104793E-4,0.38594732,50,10.327805;
15470,193.25558,231.7426,13.289385,15.161755,5.0168106E-4,0.38399103,50,10.4698305;
15546,193.25558,231.7426,13.747564,15.713152,1.8400479E-4,0.3837976,50,10.494841;
15626,193.25558,231.7426,14.20555,16.264317,1.9187732E-4,0.3828188,50,10.767565;
15719,193.25558,231.7426,14.664766,16.816961,1.411305E-4,0.38047677,50,10.90834;
15811,193.25558,231.7426,15.123696,17.36926,1.6154748E-4,0.37890312,50,10.894158;
15907,193.25558,231.7426,15.582727,17.921682,1.07712134E-4,0.37662706,50,10.895797;
15995,193.25558,231.7426,16.042727,18.475271,1.1264443E-4,0.37499782,50,10.854368;
16090,193.25558,231.7426,16.501675,19.027594,1.1720582E-4,0.37469432,50,10.908824;
16172,193.25558,231.7426,16.961123,19.580519,9.089091E-5,0.3732997,50,10.874443;
16273,193.25558,231.7426,17.41935,20.131973,1.2242455E-4,0.37291944,50,10.981118;
16357,193.25558,231.7426,17.87756,20.683407,1.8509716E-4,0.37091964,50,10.863288;
16435,193.25558,231.7426,18.33564,21.234686,1.2428491E-4,0.36970603,50,11.003695;
16509,193.45726,231.74266,18.79598,21.765896,2.2070417E-4,0.36964485,50,11.194276;
16616,193.50163,231.74268,19.25584,22.313602,2.440823E-4,0.36726615,50,11.429651;
16706,196.60548,231.74388,19.719984,22.50923,0.0010967406,0.36655968,50,11.2056055;
16797,196.80836,231.74396,20.187471,23.038363,3.5258156E-4,0.36474672,50,11.203571;
16910,196.80836,231.74396,20.654633,23.590387,1.4213297E-4,0.36316645,50,11.184683;
17013,196.80836,231.74396,21.122345,24.143064,1.5522976E-4,0.36281165,50,10.932195;
17094,196.80836,231.74396,21.589752,24.695381,1.0801788E-4,0.36105594,50,10.813252;
17169,196.80836,231.74396,22.0564,25.2468,1.16283394E-4,0.36094257,50,11.00952;
17259,196.80836,231.74396,22.523773,25.799072,1.19333905E-4,0.36057308,50,11.25315;
17340,196.80836,231.74396,22.991423,26.351675,1.2959428E-4,0.3583979,50,11.222904;
17418,196.80836,231.74396,23.458935,26.904114,9.771192E-5,0.35609913,50,11.345707;
17491,196.80836,231.74396,23.926771,27.45694,1.1677539E-4,0.35410988,50,11.503346;
17576,196.80836,231.74396,24.393679,28.008663,1.0410417E-4,0.35364854,50,11.681314;
17654,196.80836,231.74396,24.861177,28.561089,9.820934E-5,0.35269254,50,11.694756;
17725,196.80836,231.74396,25.329378,29.11434,1.395659E-4,0.3503487,50,11.81751;
17793,196.80836,231.74396,25.796993,29.666903,9.958443E-5,0.34922436,50,12.056632;
17876,197.01128,231.74405,26.264572,30.188198,3.481199E-4,0.34718654,50,12.3097925;
17947,197.87251,231.74435,26.734154,30.608276,7.7789125E-4,0.3462939,50,12.280588;
18024,197.91862,231.74438,27.203514,31.152624,2.1045154E-4,0.34586182,50,12.464796;
18100,197.96214,231.7444,27.672922,31.697193,2.0693825E-4,0.34431678,50,12.526095;
18169,197.96214,231.7444,28.142532,32.248867,1.4434305E-4,0.34257966,50,12.592336;
18238,197.96214,231.7444,28.612288,32.80071,8.592663E-5,0.34118217,50,12.75622;
18304,197.96214,231.7444,29.081741,33.3522,1.0348487E-4,0.33899114,50,12.954285;
18369,197.96214,231.7444,29.551128,33.903618,1.0028187E-4,0.33764055,50,13.159131;
18462,197.96214,231.7444,30.021463,34.456142,9.290428E-5,0.33749965,50,13.392419;
18535,197.96214,231.7444,30.49083,35.00753,9.593748E-5,0.33725533,50,13.096916;
18608,197.96214,231.7444,30.961372,35.560295,9.823947E-5,0.3372181,50,13.227132;
18673,197.96214,231.7444,31.43245,36.113697,9.0913076E-5,0.33505136,50,13.276779;
18745,197.96214,231.7444,31.903465,36.667023,9.634242E-5,0.33381945,50,13.475436;
18840,197.96214,231.7444,32.372467,37.21798,8.724206E-5,0.33229876,50,13.505866;
18907,197.96214,231.7444,32.84228,37.769894,1.0970955E-4,0.33187717,50,13.198504;
18993,197.96214,231.7444,33.31291,38.322765,1.12968366E-4,0.3316722,50,13.394914;
19063,197.96214,231.7444,33.783913,38.876076,1.1017072E-4,0.33129802,50,13.222859;
19129,197.96214,231.7444,34.254147,39.428482,9.8937504E-5,0.32993284,50,13.339026;
19194,197.96214,231.7444,34.72443,39.980946,1.01260426E-4,0.32798633,50,13.485358;
19256,197.96214,231.7444,35.194084,40.532673,1.0510055E-4,0.3269736,50,13.70964;
19318,197.96214,231.7444,35.66441,41.08519,1.1399213E-4,0.32640722,50,13.960578;
19377,197.96214,231.7444,36.133686,41.63647,9.665234E-5,0.32567966,50,14.159176;
19448,197.96214,231.7444,36.60388,42.18883,1.2251147E-4,0.3241597,50,14.455771;
19517,197.96214,231.7444,37.074364,42.74153,1.0588087E-4,0.3225288,50,14.392287;
19588,197.96214,231.7444,37.544815,43.294193,2.074718E-4,0.32142687,50,14.418632;
19649,197.96214,231.7444,38.015587,43.847233,1.0439254E-4,0.3195867,50,14.389103;
19717,197.96214,231.7444,38.48559,44.399372,1.1653779E-4,0.31895304,50,14.56827;
19796,197.96214,231.7444,38.956684,44.952785,1.441143E-4,0.31676283,50,14.538418;
19859,197.96214,231.7444,39.426785,45.505035,1.0044776E-4,0.31578547,50,14.393525;
19928,197.96214,231.7444,39.897243,46.05771,9.456907E-5,0.31499836,50,14.544959;
20004,197.96214,231.7444,40.368164,46.61092,9.821325E-5,0.31460693,50,14.543341;
20094,197.96214,231.7444,40.837406,47.162167,9.785638E-5,0.3139141,50,14.380373;
20158,197.96214,231.7444,41.308537,47.715626,1.0856503E-4,0.31223014,50,14.066512;
20227,197.96214,231.7444,41.778584,48.26781,1.0698481E-4,0.31180245,50,14.194537;
20294,197.96214,231.7444,42.249474,48.820988,1.0901688E-4,0.311308,50,14.246528;
20358,197.96214,231.7444,42.720577,49.374416,9.728852E-5,0.31127262,50,14.338222;
20418,197.96214,231.7444,43.191574,49.927723,9.723752E-5,0.3099022,50,14.403112;
20479,197.96214,231.7444,43.662025,50.480385,1.14831724E-4,0.30957827,50,14.649188;
20533,197.96214,231.7444,44.131283,51.031647,9.9990844E-5,0.30919486,50,14.873281;
20585,197.96214,231.7444,44.601906,51.584507,9.736871E-5,0.30819336,50,15.218032;
20653,197.96214,231.7444,45.072422,52.137245,1.1225746E-4,0.30703497,50,15.551864;
20721,197.96214,231.7444,45.543423,52.690556,8.9696434E-5,0.3056349,50,15.4667;
20786,197.96214,231.7444,46.013737,53.243053,1.113747E-4,0.30355272,50,15.383165;
20868,197.96214,231.7444,46.483147,53.794495,9.737018E-5,0.3012394,50,15.411072;
20932,197.96214,231.7444,46.95348,54.34702,1.0657769E-4,0.29966104,50,15.110218;
20996,197.96214,231.7444,47.424507,54.90036,9.5575975E-5,0.29732427,50,15.138742;
21060,197.96214,231.7444,47.895462,55.453613,1.007415E-4,0.29710385,50,15.210853;
21133,197.96214,231.7444,48.36576,56.006096,1.1103296E-4,0.29619172,50,14.955085;
21188,197.96214,231.7444,48.83505,56.557392,1.4162972E-4,0.29524243,50,15.182304;
21253,197.96214,231.7444,49.305374,57.109905,1.5089763E-4,0.29425418,50,15.441048;
21314,197.96214,231.7444,49.775574,57.662273,1.0680834E-4,0.29365334,50,15.483251;
21373,197.96214,231.7444,50.24659,58.2156,1.2712067E-4,0.2928599,50,15.573039;
21427,197.96214,231.7444,50.717342,58.768616,1.3744258E-4,0.29148388,50,15.636337;
21490,197.96214,231.7444,51.187344,59.320747,1.341796E-4,0.2894369,50,15.977396;
21556,198.00737,231.74443,51.656403,59.85806,1.4768647E-4,0.28787667,50,15.969784;
21612,198.00737,231.74443,52.127186,60.410988,1.1940942E-4,0.28742686,50,15.8845215;
21672,198.00737,231.74443,52.59651,60.9622,1.1027821E-4,0.2867664,50,16.095427;
21727,198.00737,231.74443,53.06698,61.514755,9.830995E-5,0.2845581,50,16.141499;
21779,198.00737,231.74443,53.53793,62.067875,1.3783372E-4,0.2829872,50,16.282839;
21836,198.00737,231.74443,54.00706,62.618862,1.5099201E-4,0.28277,50,16.660126;
21895,198.00737,231.74443,54.477917,63.17187,9.8261036E-5,0.2827561,50,16.724642;
21948,198.00737,231.74443,54.94739,63.72326,1.0325336E-4,0.28056568,50,16.776083;
22024,198.00737,231.74443,55.417034,64.27485,8.993486E-5,0.27927208,50,16.914661;
22080,198.00737,231.74443,55.88619,64.82586,1.1889497E-4,0.2784561,50,16.567701;
22130,198.00737,231.74443,56.355614,65.3772,1.0494309E-4,0.2773812,50,16.667538;
22202,198.00737,231.74443,56.8257,65.9293,1.0768062E-4,0.27659503,50,17.093384;
22267,198.00737,231.74443,57.295258,66.48078,9.249593E-5,0.27425408,50,16.74718;
22317,198.00737,231.74443,57.764534,67.03194,9.839239E-5,0.27312928,50,16.586184;
22369,198.00737,231.74443,58.234467,67.58386,9.305494E-5,0.27134818,50,17.019222;
22418,198.00737,231.74443,58.703796,68.135086,9.582301E-5,0.26910776,50,17.17187;
22468,198.00737,231.74443,59.174225,68.68759,1.0927013E-4,0.26782194,50,17.512823;
22528,198.00737,231.74443,59.644928,69.240425,8.6870794E-5,0.26657838,50,17.807297;
22581,198.00737,231.74443,60.115616,69.79324,1.0090512E-4,0.26581997,50,17.681189;
22634,198.00737,231.74443,60.58591,70.3456,1.065827E-4,0.2637129,50,17.758362;
22686,198.00737,231.74443,61.05505,70.89659,1.028471E-4,0.26253563,50,17.934584;
22742,198.00737,231.74443,61.52598,71.449684,1.0517328E-4,0.26045418,50,18.036968;
22793,198.00737,231.74443,61.99578,72.00146,9.141304E-5,0.25911155,50,17.744978;
22843,198.00737,231.74443,62.465233,72.55282,9.735397E-5,0.258295,50,18.362494;
22889,198.00737,231.74443,62.93593,73.105644,9.8404234E-5,0.25811878,50,18.609707;
22946,198.00737,231.74443,63.405724,73.65741,9.774179E-5,0.2570657,50,18.91724;
23002,198.00737,231.74443,63.877037,74.21096,1.0525925E-4,0.25534278,50,18.77077;
23056,198.00737,231.74443,64.34643,74.76225,1.081286E-4,0.25495365,50,18.63486;
23105,198.00737,231.74443,64.81785,75.31592,9.978986E-5,0.25318176,50,18.663033;
23149,198.00737,231.74443,65.28737,75.86737,1.0146793E-4,0.2510797,50,18.693645;
23198,198.00737,231.74443,65.75818,76.42032,9.4394054E-5,0.24991417,50,19.341782;
23256,198.00737,231.74443,66.22768,76.97174,1.0600668E-4,0.24897246,50,19.448378;
23309,198.00737,231.74443,66.69729,77.523285,1.0758879E-4,0.24810709,50,19.210579;
23351,198.00737,231.74443,67.167595,78.07565,1.4531502E-4,0.24581808,50,19.168177;
23394,198.00737,231.74443,67.638535,78.62876,1.1407556E-4,0.24419288,50,19.666273;
23442,198.00737,231.74443,68.10914,79.18147,1.0255281E-4,0.24370307,50,20.055508;
23488,198.00737,231.74443,68.578606,79.73286,9.7102595E-5,0.24205798,50,20.05606;
23539,198.00737,231.74443,69.0488,80.28509,1.0273059E-4,0.24044849,50,20.25552;
23580,198.00737,231.74443,69.519394,80.8378,1.1217429E-4,0.23818381,50,20.200912;
23632,198.00737,231.74443,69.9898,81.39028,1.0310089E-4,0.23656316,50,20.651747;
23680,198.00737,231.74443,70.46017,81.94272,1.16894706E-4,0.23449779,50,20.497738;
23722,198.00737,231.74443,70.93091,82.49559,9.2055954E-5,0.23277235,50,20.54035;
23778,198.00737,231.74443,71.40013,83.046684,1.07187174E-4,0.23067258,50,20.712454;
23818,198.00737,231.74443,71.8694,83.59783,1.01569334E-4,0.22892752,50,20.50787;
23859,198.00737,231.74443,72.33899,84.14936,9.9828896E-5,0.22658187,50,21.00785;
23903,198.00737,231.74443,72.81003,84.702576,1.0015522E-4,0.22549354,50,21.307228;
23951,198.00737,231.74443,73.27996,85.25451,1.07876825E-4,0.22387563,50,21.474617;
23995,198.00737,231.74443,73.75035,85.80698,9.081086E-5,0.22273183,50,21.411324;
24044,198.00737,231.74443,74.21998,86.358536,9.252175E-5,0.22049747,50,21.53765;
24090,198.00737,231.74443,74.691,86.91175,8.58082E-5,0.2197076,50,21.3781;
24130,198.00737,231.74443,75.161514,87.464355,9.6361335E-5,0.21942022,50,21.374851;
24168,198.00737,231.74443,75.63196,88.016884,9.187392E-5,0.21784697,50,21.862465;
24221,198.00737,231.74443,76.10157,88.56843,8.5100844E-5,0.21741852,50,22.153454;
24265,198.00737,231.74443,76.57081,89.119545,1.0994174E-4,0.21533376,50,21.89878;
24305,198.00737,231.74443,77.04071,89.67143,9.1367474E-5,0.21423191,50,21.978342;
24341,198.00737,231.74443,77.51058,90.22329,1.0078685E-4,0.21281925,50,22.159906;
24380,198.00737,231.74443,77.98068,90.77541,9.386596E-5,0.21199495,50,22.895609;
24416,198.00737,231.74443,78.44985,91.32644,1.08661196E-4,0.21153688,50,23.202782;
24454,198.00737,231.74443,78.92004,91.87867,1.1249599E-4,0.2104848,50,23.637648;
24496,198.00737,231.74443,79.39026,92.43094,1.04469545E-4,0.20815188,50,23.245384;
24546,198.00737,231.74443,79.86129,92.984146,9.126535E-5,0.20675965,50,22.952057;
24582,198.00737,231.74443,80.33182,93.53677,1.0471718E-4,0.20517424,50,23.99801;
24619,198.00737,231.74443,80.802185,94.08921,9.4100906E-5,0.20481016,50,24.231033;
24658,198.00737,231.74443,81.27187,94.640854,1.032546E-4,0.2044857,50,24.543524;
24698,198.00737,231.74443,81.74173,95.19269,9.631668E-5,0.20278858,50,24.576246;
24738,198.00737,231.74443,82.21114,95.74401,9.160824E-5,0.20072408,50,24.767086;
24777,198.00737,231.74443,82.68109,96.29595,9.198133E-5,0.20043814,50,24.81438;
24817,198.00737,231.74443,83.15142,96.84834,8.81529E-5,0.19900212,50,24.858702;
24858,198.00737,231.74443,83.62142,97.400345,1.03854974E-4,0.19776094,50,24.874235;
24898,198.00737,231.74443,84.09059,97.95138,1.0091084E-4,0.19541411,50,24.836277;
24936,198.00737,231.74443,84.56105,98.50393,1.0906177E-4,0.19527395,50,24.718401;
24975,198.00737,231.74443,85.03116,99.05606,9.256617E-5,0.19490224,50,25.066868;
25023,198.00737,231.74443,85.50041,99.607185,1.3275669E-4,0.19286126,50,25.127241;
25071,198.00737,231.74443,85.97021,100.15896,1.3583509E-4,0.19096607,50,24.65674;
