elapsedTime,frq_rt, col_rt, frq_m, col_m, amp_rt, amp_m, total, framerate;
26156,830.5595,231.80664,740.2883,206.59842,5.0830444E-5,7.6082256E-4,50,61.21957;
26173,830.5595,231.80664,742.2028,207.13304,4.8939808E-5,7.606256E-4,50,61.016304;
26198,830.5595,231.80664,744.1173,207.66766,4.5386725E-5,7.603126E-4,50,61.401646;
26208,830.5595,231.80664,746.03186,208.2023,4.3444277E-5,7.600224E-4,50,59.766464;
26225,830.5595,231.80664,747.94635,208.73692,4.3808486E-5,7.598813E-4,50,59.89699;
26249,830.5595,231.80664,749.86084,209.27153,4.9010658E-5,7.598646E-4,50,59.894085;
26271,830.5595,231.80664,751.7754,209.80618,4.803525E-5,7.5980526E-4,50,59.481625;
26288,830.5595,231.80664,753.6899,210.3408,4.821814E-5,7.5972435E-4,50,59.35267;
26295,830.5595,231.80664,755.6044,210.87543,4.6570665E-5,7.597114E-4,50,59.22474;
26311,830.5595,231.80664,757.5189,211.41006,5.308553E-5,7.596168E-4,50,59.335426;
26326,830.5595,231.80664,759.4334,211.94467,5.1863994E-5,7.5957295E-4,50,59.67631;
26353,830.5595,231.80664,761.3479,212.47931,5.7443172E-5,7.5958826E-4,50,60.006084;
26359,830.5595,231.80664,763.26245,213.01395,6.4183376E-5,7.5967814E-4,50,59.933174;
26376,830.5595,231.80664,765.17694,213.54855,6.2919586E-5,7.597172E-4,50,59.81704;
26393,830.5595,231.80664,767.09143,214.08319,6.315655E-5,7.597671E-4,50,59.972225;
26409,830.5595,231.80664,769.006,214.61781,6.141486E-5,7.598672E-4,50,59.898724;
26426,830.5595,231.80664,770.9205,215.15244,6.174142E-5,7.597361E-4,50,59.84359;
26443,830.5595,231.80664,772.8349,215.68706,7.646631E-5,7.597561E-4,50,59.972466;
26459,830.5595,231.80664,774.7494,216.22166,6.003421E-5,7.598886E-4,50,60.041126;
26475,830.5595,231.80664,776.66394,216.7563,6.311523E-5,7.599974E-4,50,60.168224;
26491,830.5595,231.80664,778.5784,217.29092,5.8189296E-5,7.601195E-4,50,60.454952;
26507,830.5595,231.80664,780.4929,217.82555,5.9112906E-5,7.601454E-4,50,60.60521;
26524,830.5595,231.80664,782.4038,218.35916,6.7424924E-5,7.219373E-4,50,60.413277;
26542,830.5595,231.80664,784.3081,218.89093,6.586642E-5,6.965639E-4,50,60.49706;
26564,830.5595,231.80664,786.2097,219.42197,4.485256E-5,6.970656E-4,50,60.545246;
26574,830.5595,231.80664,787.4701,219.77391,5.5186967E-5,5.353018E-4,50,60.858837;
26589,830.5595,231.80664,788.0823,219.94487,5.0186805E-5,4.4093956E-4,50,61.177723;
26607,830.5595,231.80664,788.68774,220.11395,5.1124334E-5,4.5497468E-4,50,60.945496;
26630,830.5595,231.80664,789.1029,220.22989,5.3034677E-5,2.9025335E-4,50,60.296707;
26640,830.5595,231.80664,789.3116,220.28816,5.267649E-5,1.9053469E-4,50,60.589245;
26658,830.5595,231.80664,789.50433,220.34198,5.2743646E-5,2.0186679E-4,50,60.6082;
26674,830.5595,231.80664,789.69666,220.39568,5.6691908E-5,1.9768794E-4,50,60.857388;
26697,830.5595,231.80664,789.8886,220.4493,6.47426E-5,1.9624022E-4,50,60.63647;
26715,829.43335,231.49216,790.07935,220.50255,2.2878827E-4,1.9606459E-4,50,59.43261;
26728,827.89764,231.06331,790.2667,220.55489,1.9802971E-4,1.966421E-4,50,59.608936;
26746,825.9524,230.5201,790.45,220.60606,1.8351935E-4,1.9735955E-4,50,59.374886;
26771,823.5976,229.86252,790.6281,220.6558,1.8624005E-4,1.980918E-4,50,58.155796;
26789,823.5976,229.86252,790.8033,220.70471,8.502649E-5,1.9851835E-4,50,58.44373;
26804,823.5976,229.86252,790.9785,220.75365,4.450866E-5,1.986148E-4,50,58.571564;
26820,823.5976,229.86252,791.15375,220.80258,5.2105752E-5,1.986483E-4,50,58.860268;
