elapsedTime,frq_rt, col_rt, frq_m, col_m, amp_rt, amp_m, total, framerate;
9349,140.86618,231.7494,15.482348,24.797958,1.15999734E-4,0.39379656,50,11.270048;
9431,140.86618,231.7494,15.816247,25.349072,1.2326219E-4,0.39239198,50,11.370752;
9512,140.86618,231.7494,16.150629,25.900984,1.4366476E-4,0.39097694,50,11.448824;
9593,140.86618,231.7494,16.485271,26.453327,1.337268E-4,0.389615,50,11.548414;
9673,140.86618,231.7494,16.81868,27.003633,9.081152E-5,0.38953584,50,11.624557;
9757,140.86618,231.7494,17.151848,27.55354,9.519514E-5,0.38829386,50,11.691685;
9836,140.86618,231.7494,17.48615,28.105322,1.0606089E-4,0.38679558,50,11.73724;
9915,140.86618,231.7494,17.820665,28.657452,1.1161172E-4,0.3854259,50,11.836589;
9993,140.86618,231.7494,18.155407,29.209957,1.9969682E-4,0.38351756,50,11.902817;
10080,140.86618,231.7494,18.488543,29.759813,1.321588E-4,0.3822212,50,11.996314;
10155,142.28941,231.7501,18.823355,30.008348,4.1446113E-4,0.38040224,50,11.946148;
10235,142.491,231.7502,19.161766,30.517946,3.0264212E-4,0.37986425,50,12.102169;
10311,142.491,231.7502,19.49869,31.067694,1.535088E-4,0.3786124,50,12.115825;
10387,142.491,231.7502,19.836382,31.618694,2.4357307E-4,0.37839338,50,12.24924;
10468,142.69345,231.7503,20.174177,32.12409,2.0900536E-4,0.3772271,50,12.323142;
10543,142.69345,231.7503,20.512465,32.675274,1.3182315E-4,0.37499127,50,12.29882;
10616,142.69345,231.7503,20.850988,33.226845,1.2633362E-4,0.3732515,50,12.430448;
10687,142.69345,231.7503,21.190525,33.78007,1.0337456E-4,0.3729688,50,12.588336;
10767,142.69345,231.7503,21.529953,34.333115,9.381254E-5,0.37090752,50,12.7222805;
10843,142.69345,231.7503,21.868374,34.884518,9.6666925E-5,0.36991945,50,12.687102;
10913,142.69345,231.7503,22.20668,35.435738,8.8568806E-5,0.3678707,50,12.762565;
10987,142.69345,231.7503,22.544146,35.985584,1.0024013E-4,0.36742032,50,12.89725;
11064,142.69345,231.7503,22.883585,36.53865,1.01570695E-4,0.3669835,50,12.954754;
11133,142.69345,231.7503,23.221249,37.088818,9.249024E-5,0.3648341,50,12.944859;
11205,142.69345,231.7503,23.559078,37.63926,8.52238E-5,0.3635083,50,13.113355;
11279,142.69345,231.7503,23.898352,38.192055,9.201668E-5,0.36315846,50,13.207115;
11350,142.69345,231.7503,24.236317,38.742718,1.4787764E-4,0.3624685,50,13.202744;
11424,153.10881,231.75493,24.587072,36.632538,0.0013177814,0.36151966,50,13.318092;
11495,164.35112,231.75926,24.964048,34.653427,0.0012758,0.36044857,50,13.355798;
11566,175.84607,231.76314,25.36815,32.91677,0.0014462726,0.36028108,50,13.423364;
11636,180.33586,231.76451,25.789957,32.63883,8.046781E-4,0.3590809,50,13.470415;
11706,180.33586,231.76451,26.218357,33.190804,7.413069E-5,0.3570553,50,13.558794;
11780,191.82925,231.76773,26.659103,31.731644,0.001794333,0.35502994,50,13.628323;
11852,192.84845,231.76799,27.116144,32.114162,8.994946E-6,0.35310814,50,13.635458;
11919,230.09122,231.77614,27.618322,27.413576,0.0019449152,0.35108432,50,13.638262;
