elapsedTime,eventRecognized_tap,eventRecognized_hold,frq_rt, col_rt, frq_m, col_m, amp_rt,orbitSpeed,amp_m,shape_m_value, framerate
1245065,0,0,4101.5713,122.14371,3226.7036,56.210083,0.0022229487,0.0024136945,0.0026064485,0.16743264,55.995865
1245081,0,0,3726.1523,117.26731,3227.1768,56.21855,0.0035977561,0.0032880097,0.002615006,0.16798234,56.93741
1245098,0,0,3426.0476,113.36919,3226.55,56.207333,0.0034934597,0.0032216818,0.0026259064,0.16868256,57.440582
1245114,0,0,3079.243,108.86447,3225.4648,56.187904,0.003932278,0.0035007508,0.0026357416,0.16931435,57.30168
1245131,0,0,2734.288,104.38377,3223.9663,56.161076,0.0038499995,0.0034484253,0.0026450327,0.1699112,57.445312
1245147,0,0,2491.1,101.22495,3222.0042,56.125946,0.0026394653,0.0026785801,0.0026503282,0.17025137,57.97536
1245164,0,0,2244.069,98.01621,3219.732,56.08526,0.0012947319,0.0018233908,0.00264831,0.17012173,57.923805
1245184,0,0,1949.9191,94.195435,3217.3958,56.043434,0.0015468695,0.001983739,0.0026447123,0.16989061,58.026405
1245210,0,0,1862.9023,93.065155,3215.4937,56.009377,0.0011759638,0.0017478596,0.002640977,0.16965067,55.759304
1245229,0,0,1730.262,91.34226,3213.6636,55.976612,0.0012455087,0.0017920871,0.0026358187,0.1693193,55.275543
1245247,0,0,1729.3334,91.3302,3212.573,55.95709,0.0012142155,0.001772186,0.0026299949,0.1689452,55.655193
1245266,0,0,1771.5786,91.87894,3212.3782,55.9536,0.0011522188,0.001732759,0.002623762,0.16854481,55.50061
1245282,0,0,1781.7333,92.01083,3212.383,55.95369,0.0011638431,0.0017401516,0.0026174444,0.16813898,56.05561
1245299,0,0,1822.7524,92.54364,3212.2886,55.951992,0.0011365752,0.0017228103,0.0026124367,0.16781731,56.248108
1245315,0,0,1795.1643,92.185295,3212.413,55.954224,0.001141688,0.0017260618,0.0026081542,0.16754219,56.618896
1245332,0,0,1887.45,93.38401,3212.5498,55.956673,6.555853E-4,0.0014169225,0.0026027705,0.16719636,56.913773
1245349,0,0,1954.9166,94.26035,3212.8777,55.962543,7.4672955E-4,0.0014748862,0.0025972754,0.16684337,56.95941
1245366,0,0,1983.4166,94.63055,3213.126,55.966988,7.2964E-4,0.001464018,0.0025921073,0.16651139,57.339264
1245383,0,0,2068.6333,95.73744,3213.5942,55.97537,9.917642E-4,0.0016307172,0.0025856195,0.16609462,57.491932
1245399,0,0,2064.995,95.690186,3214.2244,55.986656,0.0010171053,0.0016468329,0.0025793335,0.16569081,57.993477
1245416,0,0,2154.0286,96.84666,3215.0552,56.00153,0.0010123538,0.0016438111,0.0025736822,0.16532779,57.910095
1245434,0,0,2225.755,97.77833,3216.1016,56.020264,6.733921E-4,0.0014282468,0.002566833,0.16488782,57.972374
1245450,0,0,2261.8237,98.24683,3217.3284,56.04223,7.9026516E-4,0.0015025728,0.00255932,0.1644052,58.272892
1245468,0,0,2354.519,99.450874,3218.6682,56.066216,7.683515E-4,0.0014886367,0.002551872,0.16392677,58.782032
1245491,0,0,2433.688,100.47922,3220.356,56.096436,9.418422E-4,0.001598969,0.002544977,0.16348384,56.738144
1245510,0,0,2458.7856,100.805214,3222.1904,56.129276,9.0931274E-4,0.0015782817,0.002537137,0.1629802,56.49268
1245531,0,0,2545.5906,101.93274,3224.1064,56.16358,9.589649E-4,0.0016098582,0.0025321385,0.16265912,56.35823
1245552,0,0,2630.1858,103.03157,3226.2761,56.20243,6.2703417E-4,0.0013987654,0.002528293,0.16241209,55.443497
1245576,0,0,2654.0786,103.34192,3228.7146,56.246086,9.4493653E-4,0.0016009368,0.0025240649,0.16214049,53.775894
1245595,0,0,2747.262,104.55229,3231.427,56.29465,8.853298E-4,0.0015630296,0.0025203591,0.16190244,54.043125
