elapsedTime,eventRecognized,frq_rt, col_rt, frq_m, col_m, amp_rt, amp_m, total, framerate;
392101,0,8957.976,185.2208,8957.976,158.81784,0.08349184,0.08349184,0,55.199833
392118,0,8960.2,185.2497,8960.2,158.85768,0.08351309,0.08351309,0,55.01213
392133,0,8967.123,185.33961,8967.123,158.98163,0.08357921,0.08357921,0,56.254578
392150,0,8978.485,185.48721,8978.485,159.18507,0.083687745,0.083687745,0,56.493687
392166,0,8993.843,185.6867,8993.843,159.46004,0.083834425,0.083834425,0,57.027634
392183,0,9011.865,185.9208,9011.865,159.78273,0.08400657,0.08400657,0,57.157917
392202,0,9034.288,186.21208,9034.288,160.18422,0.084220745,0.084220745,0,56.77537
392219,0,9057.884,186.51859,9057.884,160.60669,0.08444612,0.08444612,0,57.021954
392234,0,9082.619,186.8399,9082.619,161.04959,0.08468238,0.08468238,0,57.66636
392251,0,9107.886,187.1681,9107.886,161.50198,0.08492372,0.08492372,0,58.027103
392267,0,9131.848,187.47937,9131.848,161.93103,0.0851526,0.0851526,0,58.568565
392283,0,9157.621,187.81416,9157.621,162.39249,0.08539877,0.08539877,0,58.587463
392300,0,9180.566,188.11221,9180.566,162.80333,0.085617945,0.085617945,0,58.757347
392319,0,9199.957,188.3641,9199.957,163.15053,0.08580316,0.08580316,0,58.26057
392335,0,9206.973,188.45523,9206.973,163.27614,0.08587017,0.08587017,0,58.981464
392353,0,9200.307,188.36865,9200.307,163.15678,0.0858065,0.0858065,0,58.427433
392370,0,9183.875,188.15521,9183.875,162.86258,0.08564955,0.08564955,0,58.440697
392387,0,9156.011,187.79324,9156.011,162.36366,0.0853834,0.0853834,0,58.492264
392403,0,9120.63,187.33365,9120.63,161.73018,0.08504545,0.08504545,0,59.082695
392418,0,9083.0,186.84485,9083.0,161.05641,0.08468602,0.08468602,0,59.604233
392434,0,9047.741,186.38684,9047.741,160.4251,0.084349245,0.084349245,0,59.460842
