elapsedTime,eventRecognized,frq_rt, col_rt, frq_m, col_m, amp_rt, amp_m, total, framerate;
29460,0,2154.743,165.77791,1080.6395,63.408623,0.004161754,0.30868542,0,59.653526
29477,0,2196.169,167.69766,1085.8783,63.743256,0.0040233405,0.3073045,0,60.133156
29493,0,2190.0166,167.41254,1091.1,64.0768,0.003888718,0.3073044,0,60.118156
29509,0,2186.5334,167.25113,1096.305,64.40928,0.00391396,0.30642465,0,60.263924
29527,0,2043.8,160.63666,1101.5046,64.7414,0.004215273,0.30460405,0,59.771713
29545,0,2042.3643,160.57011,1106.4797,65.0592,0.0037866696,0.30374464,0,59.230915
29562,0,1989.8715,158.13751,1111.2233,65.36219,0.0038670327,0.30337778,0,59.489407
29578,0,1989.5643,158.12329,1115.9581,65.664635,0.0040543145,0.30238014,0,59.903538
29595,0,1990.4857,158.16599,1120.6953,65.96723,0.004019199,0.30136374,0,59.882435
29611,0,1987.1548,158.01163,1125.4297,66.26965,0.004325054,0.30116633,0,59.74154
29627,0,1937.2715,155.69995,1130.1584,66.57171,0.004035705,0.30003813,0,60.573257
29642,0,1937.8071,155.72478,1134.7716,66.86636,0.004089958,0.29843563,0,60.631428
29662,0,1937.8071,155.72478,1139.385,67.161064,0.004079785,0.2969985,0,59.94943
29680,0,1935.2476,155.60617,1143.9948,67.455505,0.0039519067,0.2953019,0,59.34406
29697,0,1932.2786,155.46857,1148.599,67.7496,0.003975884,0.2947037,0,59.68022
29712,0,1932.3572,155.47223,1153.1995,68.04347,0.0038621884,0.29334176,0,59.78214
29728,0,1977.6262,157.57005,1157.911,68.34442,0.0045455014,0.29108307,0,60.23842
29743,0,2021.1548,159.58723,1162.6129,68.64476,0.0044173803,0.289292,0,60.04006
29760,0,2019.3357,159.50293,1167.4207,68.951866,0.0044343206,0.28749096,0,60.15028
29777,0,2062.0215,161.48105,1172.2229,69.25862,0.0044311443,0.28688988,0,60.384365
29793,0,2060.6904,161.41937,1177.131,69.57212,0.0044317394,0.28586307,0,60.430794
29809,0,2059.255,161.35284,1182.0398,69.88568,0.0040537743,0.28386423,0,60.888386
29824,0,2099.069,163.1979,1186.9333,70.198265,0.0041246423,0.28225288,0,60.89379
29841,0,2100.6118,163.26938,1191.9321,70.51756,0.0036338118,0.2806461,0,60.83551
29857,0,2095.6191,163.03802,1196.9298,70.83679,0.004195113,0.2797216,0,60.89925
29874,0,2142.4785,165.20956,1202.0306,71.16261,0.004089869,0.27934396,0,60.76274
29890,0,2061.3096,161.44806,1207.0349,71.48228,0.0045068213,0.279231,0,60.713314
29906,0,2057.1118,161.25354,1211.9369,71.79539,0.00489326,0.27892873,0,60.94809
29924,0,2101.743,163.32181,1216.9417,72.115074,0.004820803,0.2781393,0,60.356297
29945,0,2063.5144,161.55023,1221.8464,72.428375,0.0023140442,0.27638316,0,59.418327
29963,0,2108.4048,163.63052,1226.753,72.74178,0.0023089838,0.27438748,0,59.065685
29980,0,2104.8215,163.46448,1231.7698,73.06224,0.0036329578,0.2724751,0,59.368088
29997,0,2149.35,165.528,1236.885,73.38898,0.0030539564,0.27090022,0,59.77241
30012,0,2148.2239,165.4758,1241.9996,73.71568,0.0032521817,0.270406,0,59.653637
30028,0,2148.019,165.46631,1247.112,74.04225,0.0032150145,0.27033958,0,59.76114
30045,0,2103.5928,163.40753,1252.2263,74.36893,0.003128897,0.26835245,0,59.54525
30062,0,2103.6953,163.4123,1257.2333,74.68874,0.0043144743,0.2662901,0,59.7713
30078,0,2103.3882,163.39804,1262.2404,75.008575,0.004092179,0.26619542,0,59.99849
30093,0,2027.8071,159.89551,1267.1562,75.32259,0.004613722,0.26461613,0,60.397686
30110,0,2029.1381,159.95718,1271.8735,75.62392,0.0050025554,0.26420107,0,60.274628
30127,0,2029.3429,159.96667,1276.7039,75.93246,0.004929649,0.26277,0,60.530975
30141,0,2028.6262,159.93347,1281.5328,76.24091,0.0032999597,0.26105943,0,61.053925
30157,0,2069.7715,161.84021,1286.3478,76.54846,0.004443383,0.26101294,0,60.83395
30173,0,2066.2856,161.67867,1291.264,76.862495,0.0042289905,0.25938952,0,61.27412
30189,0,2023.2928,159.68631,1296.1859,77.17689,0.0048770034,0.25777218,0,61.416386
30205,0,2066.3857,161.6833,1301.1083,77.49131,0.0047555007,0.25631064,0,61.677197
30222,0,2063.5166,161.55035,1306.0132,77.80463,0.0038730823,0.25598216,0,61.11499
30239,0,2062.5952,161.50764,1310.9233,78.11827,0.0034894585,0.25396395,0,61.065655
30256,0,2106.226,163.52957,1315.8323,78.43182,0.003561388,0.2536343,0,60.78444
30274,0,2099.1072,163.19968,1320.8387,78.75162,0.003939853,0.25159484,0,60.291294
30292,0,2099.0286,163.19603,1325.8354,79.07079,0.003516322,0.25143227,0,59.714542
30309,0,2099.0286,163.19603,1330.8328,79.39001,0.003595734,0.24940416,0,60.081337
30324,0,2055.831,161.19418,1335.7206,79.70221,0.0034439154,0.24854824,0,60.130096
30341,0,2059.7214,161.37448,1340.6205,80.0152,0.0034723815,0.24827644,0,60.103336
30357,0,2055.1619,161.16318,1345.5219,80.32828,0.0046664486,0.24615005,0,60.058624
30373,0,2098.9739,163.19348,1350.5205,80.64758,0.0044425605,0.24580766,0,60.623753
30390,0,2057.005,161.24858,1355.4109,80.95996,0.004074475,0.24373436,0,60.61135
30406,0,2051.7239,161.00385,1360.3071,81.27271,0.004143491,0.24211717,0,60.533085
30422,0,2093.4358,162.93684,1365.2943,81.59126,0.0037003448,0.24051751,0,60.861397
30440,0,2090.1594,162.785,1370.273,81.909294,0.004199913,0.23891722,0,60.552826
30456,0,2134.3809,164.83429,1375.2437,82.2268,0.0041062436,0.23810577,0,60.61276
30473,0,2096.2048,163.06517,1380.224,82.544914,0.004044892,0.23648667,0,60.30383
30490,0,2049.8333,160.91623,1385.103,82.856575,0.0037732434,0.23469429,0,60.040825
30506,0,2048.707,160.86404,1389.9849,83.16841,0.0038241774,0.23339744,0,60.559826
30523,0,1985.6929,157.94388,1394.7867,83.47513,0.0050506326,0.23249687,0,60.331886
30540,0,1945.7715,156.09386,1399.5183,83.777374,0.0039954963,0.23175834,0,59.840984
30557,0,1906.7715,154.28653,1404.049,84.066765,0.0041933344,0.23007676,0,59.990368
30573,0,1865.1095,152.35585,1408.4796,84.34978,0.0041373344,0.22812718,0,60.113327
30589,0,1820.8096,150.30293,1412.9253,84.63376,0.0041478346,0.22791894,0,60.612732
30606,0,1823.8572,150.44415,1417.2625,84.9108,0.004145866,0.2265193,0,60.468826
30623,0,1826.4714,150.5653,1421.6044,85.18814,0.003102661,0.22595024,0,60.501083
30640,0,1791.269,148.93399,1425.854,85.459595,0.003709413,0.22543955,0,60.137856
30657,0,1798.5476,149.27127,1430.1261,85.732475,0.0035956472,0.22334196,0,59.736595
30674,0,1761.9595,147.57573,1434.4166,86.00653,0.0034154688,0.2222569,0,60.01397
30690,0,1720.6381,145.66083,1438.6162,86.274796,0.0053845244,0.22167854,0,60.16872
30707,0,1729.531,146.07294,1442.7235,86.53714,0.005015326,0.22014573,0,59.740097
30725,0,1730.7643,146.1301,1446.8405,86.80012,0.0046835244,0.21861307,0,59.65386
30741,0,1651.3405,142.44948,1450.866,87.05726,0.004745737,0.21660252,0,59.92714
30758,0,1691.0476,144.28957,1454.899,87.314865,0.0047340724,0.21514168,0,59.616795
30775,0,1677.8214,143.67664,1458.8975,87.57028,0.0046217847,0.21417734,0,59.7323
30791,0,1677.4119,143.65767,1462.8909,87.82536,0.0039410098,0.21194659,0,59.945274
30807,0,1678.231,143.69562,1466.8837,88.0804,0.004068655,0.21053262,0,60.178555
30824,0,1722.35,145.74016,1470.9825,88.34222,0.005165326,0.20838647,0,60.09677
30841,0,1719.1761,145.59308,1475.0796,88.603935,0.0049597,0.20805533,0,59.83682
30857,0,1761.6571,147.5617,1479.1655,88.86493,0.004998255,0.20624392,0,60.2323
30874,0,1684.0358,143.96463,1483.272,89.127235,0.0042589693,0.2040378,0,60.01501
30891,0,1680.4429,143.79813,1487.2776,89.383095,0.0067600673,0.2027176,0,59.877815
30907,0,1674.2905,143.51303,1491.2722,89.63825,0.006291112,0.2014,0,60.00807
30924,0,1665.7833,143.11877,1495.2432,89.89191,0.0036077201,0.20135331,0,60.14615
30941,0,1664.6476,143.06615,1499.2068,90.14509,0.005444503,0.19904974,0,59.923126
30958,0,1658.7238,142.79163,1503.1674,90.39806,0.005100106,0.19714464,0,60.193672
30974,0,1713.8881,145.34802,1507.2345,90.65785,0.0035839113,0.19588722,0,60.219727
30991,0,1722.8071,145.76135,1511.324,90.91908,0.0038681978,0.19486126,0,59.86359
31008,0,1730.7,146.12712,1515.436,91.18175,0.003814894,0.1937192,0,59.90463
31024,0,1750.4642,147.04301,1519.53,91.44325,0.004772528,0.19335547,0,60.28719
31041,0,1701.0333,144.75232,1523.6309,91.7052,0.008614926,0.19177146,0,59.908348
31058,0,1679.1072,143.73624,1527.6248,91.96032,0.007894477,0.19101381,0,59.89363
31075,0,1703.738,144.87766,1531.5878,92.213455,0.0054755486,0.19006951,0,59.94348
31093,0,1727.3452,145.97165,1535.6178,92.47087,0.0059290975,0.18945849,0,59.447353
31110,0,1763.0809,147.62769,1539.7776,92.736595,0.005844057,0.18793055,0,59.732624
31125,0,1777.4785,148.2949,1544.014,93.007195,0.010136409,0.18712793,0,59.893982
31142,0,1795.3167,149.12155,1548.2678,93.278915,0.0074050794,0.18631776,0,60.035793
31158,0,1888.031,153.41808,1552.6912,93.56146,0.007917203,0.18469562,0,60.429714
31174,0,1863.1167,152.26352,1557.1964,93.849236,0.005275077,0.1840873,0,60.377598
31190,0,1873.4976,152.74457,1561.6398,94.13306,0.006270324,0.18370007,0,60.513496
31207,0,1826.8334,150.58209,1566.0687,94.415955,0.006083715,0.18306698,0,60.48639
31224,0,1758.8477,147.43152,1570.4015,94.69272,0.010390438,0.1830777,0,59.963387
31241,0,1670.3262,143.32932,1574.4897,94.95387,0.009582927,0.18130179,0,60.20057
31257,0,1567.7262,138.57466,1578.3765,95.20213,0.009734336,0.1806896,0,60.63445
31274,0,1553.2167,137.90227,1582.0898,95.43933,0.00919515,0.1795399,0,60.268406
31290,0,1565.6619,138.479,1585.7957,95.67605,0.008720325,0.1783658,0,60.613056
31309,0,1553.6738,137.92346,1589.5493,95.91582,0.008809354,0.17650843,0,59.872463
31326,0,1540.0691,137.293,1593.2606,96.15288,0.010541287,0.17541103,0,59.84842
31343,0,1523.9,136.5437,1596.8969,96.38514,0.01021655,0.17464806,0,59.40911
31360,0,1493.269,135.1242,1600.5426,96.61802,0.0065266117,0.17240688,0,59.552223
31375,0,1547.9738,137.6593,1604.1903,96.85102,0.0072184755,0.17125404,0,60.446705
31391,0,1452.9261,133.25465,1607.8173,97.082695,0.012863448,0.1701191,0,60.4363
31408,0,1437.9857,132.56229,1611.3303,97.3071,0.011805016,0.16974352,0,60.315594
31425,0,1448.1619,133.03387,1614.6976,97.52219,0.010388604,0.1696236,0,60.20326
31441,0,1396.35,130.63283,1618.1088,97.740074,0.004640772,0.16929239,0,60.361053
31457,0,1408.8309,131.21121,1621.5045,97.95698,0.005718491,0.1678557,0,60.63045
31474,0,1404.6881,131.01923,1624.9369,98.17623,0.0094944835,0.16599463,0,60.33353
31490,0,1468.4738,133.97516,1628.3867,98.3966,0.008786485,0.16514519,0,60.30611
31508,0,1505.6024,135.69574,1631.9259,98.62266,0.008919235,0.16512981,0,59.948006
31528,0,1588.9476,139.5581,1635.5237,98.85248,0.007420916,0.16315696,0,59.426655
31543,0,1682.5786,143.8971,1639.418,99.101234,0.007441596,0.1618159,0,59.834095
31559,0,1772.5143,148.06485,1643.5314,99.363976,0.0074377186,0.16066587,0,60.31013
31575,0,1830.3881,150.74681,1647.8226,99.638084,0.014265858,0.16006745,0,60.27812
31591,0,1933.9095,155.54416,1652.3772,99.92902,0.0129855815,0.15892504,0,60.464962
31608,0,1910.3833,154.45392,1656.9037,100.21815,0.013225633,0.15715888,0,60.188232
