elapsedTime,eventRecognized_tap,eventRecognized_hold,frq_rt, col_rt, frq_m, col_m, amp_rt,orbitSpeed,amp_m,shape_m_value, framerate
1030293,0,0,4084.774,121.918655,2970.4292,51.611237,0.001066253,0.0016750603,0.0033980617,0.21730928,60.42553
1030311,0,0,4083.8523,121.90668,2973.3562,51.663643,0.0010643894,0.0016738803,0.0033995828,0.21740657,60.036476
1030327,0,0,4130.405,122.51139,2976.1768,51.714146,0.0010647387,0.0016741015,0.0034015952,0.21753526,60.0107
1030343,0,0,4176.548,123.11079,2979.1099,51.766663,0.0013479115,0.0018533822,0.0034047926,0.21773973,60.405895
1030360,0,0,4223.281,123.71784,2982.0432,51.819183,0.001107862,0.0017014034,0.0034077093,0.21792626,60.24889
1030377,0,0,4270.014,124.324905,2984.9788,51.871746,0.0011528713,0.0017298996,0.0034101282,0.21808095,60.18331
1030393,0,0,4270.424,124.33022,2987.6914,51.920315,0.0011496639,0.0017278689,0.0034126572,0.21824269,60.354073
1030411,0,0,4317.8975,124.9469,2990.4062,51.968925,0.0012099082,0.0017660104,0.0034152176,0.21840644,60.065895
1030427,0,0,4317.5903,124.94292,2993.015,52.015633,0.0011986124,0.0017588588,0.003417802,0.21857171,60.380157
1030445,0,0,4364.143,125.54762,2995.7395,52.064415,0.001142822,0.0017235372,0.0034202593,0.21872884,59.929916
1030461,0,0,4372.24,125.6528,2998.4814,52.11351,0.0014289077,0.0019046622,0.0034230854,0.21890956,60.02501
1030477,0,0,4380.4404,125.75932,3001.1357,52.161037,0.0013752667,0.0018707012,0.0034261693,0.2191068,60.2759
1030493,0,0,4347.933,125.33706,3003.8174,52.20905,0.0011737696,0.0017431305,0.0034287625,0.21927264,60.31547
1030510,0,0,4315.119,124.91081,3006.4255,52.25575,9.633311E-4,0.0016098989,0.0034300054,0.21935211,60.12882
1030528,0,0,4330.2427,125.10727,3008.848,52.29912,0.0010027883,0.0016348797,0.0034306687,0.21939453,59.995346
1030543,0,0,4289.9453,124.58381,3011.188,52.341022,0.001297063,0.0018211893,0.0034326662,0.21952227,60.126312
1030560,0,0,4296.8145,124.673035,3013.4363,52.381275,0.0011352032,0.0017187136,0.0034352627,0.21968833,60.13847
1030577,0,0,4304.25,124.76962,3015.5923,52.419884,0.0011655518,0.0017379278,0.0034376949,0.21984386,60.237015
1030593,0,0,4270.719,124.33406,3017.5542,52.455006,0.0012827384,0.0018121202,0.0034397522,0.21997543,60.2247
1030610,0,0,4270.412,124.33008,3019.529,52.490368,0.0011564437,0.0017321613,0.0034412444,0.22007085,60.08869
1030627,0,0,4222.529,123.70807,3021.4111,52.524063,0.001180124,0.0017471536,0.0034425943,0.22015719,60.078278
1030643,0,0,4228.9883,123.79198,3023.1072,52.554432,0.0012397273,0.0017848893,0.0034448882,0.2203039,60.186512
1030661,0,0,4244.3643,123.991714,3024.747,52.583797,0.0012488351,0.0017906555,0.0034477578,0.2204874,59.83115
