elapsedTime,eventRecognized,frq_rt, col_rt, frq_m, col_m, amp_rt, amp_m, total, framerate;
19010,0,8927.387,158.86064,8927.387,158.86064,0.006852823,0.006852823,0,50.596916
19028,0,8929.629,158.90056,8929.629,158.90056,0.0068545435,0.0068545435,0,49.9122
19046,0,8936.604,159.02467,8936.604,159.02467,0.0068598976,0.0068598976,0,50.622673
19063,0,8948.051,159.2284,8948.051,159.2284,0.006868686,0.006868686,0,51.138645
19080,0,8963.523,159.50374,8963.523,159.50374,0.006880563,0.006880563,0,51.952347
19098,0,8981.682,159.82687,8981.682,159.82687,0.0068945023,0.0068945023,0,52.567635
19116,0,9004.272,160.2289,9004.272,160.2289,0.006911845,0.006911845,0,53.03722
19131,0,9028.046,160.65196,9028.046,160.65196,0.0069300947,0.0069300947,0,54.20652
19148,0,9052.967,161.09544,9052.967,161.09544,0.006949226,0.006949226,0,54.592316
19164,0,9078.424,161.54846,9078.424,161.54846,0.0069687683,0.0069687683,0,55.222424
19180,0,9102.566,161.9781,9102.566,161.9781,0.0069873016,0.0069873016,0,55.82515
19196,0,9128.532,162.44017,9128.532,162.44017,0.007007235,0.007007235,0,56.49145
19213,0,9151.651,162.8516,9151.651,162.8516,0.0070249825,0.0070249825,0,56.774254
19231,0,9171.1875,163.19926,9171.1875,163.19926,0.0070399796,0.0070399796,0,57.09379
19247,0,9178.256,163.32504,9178.256,163.32504,0.007045406,0.007045406,0,57.796623
19263,0,9171.54,163.20554,9171.54,163.20554,0.00704025,0.00704025,0,57.66154
19280,0,9154.984,162.9109,9154.984,162.9109,0.0070275413,0.0070275413,0,58.142437
19299,0,9126.911,162.41133,9126.911,162.41133,0.00700599,0.00700599,0,58.06484
19315,0,9091.264,161.77696,9091.264,161.77696,0.006978625,0.006978625,0,57.58988
19331,0,9053.351,161.10226,9053.351,161.10226,0.0069495207,0.0069495207,0,58.001816
19346,0,9017.827,160.47011,9017.827,160.47011,0.00692225,0.00692225,0,58.91231
19363,0,8984.775,159.88193,8984.775,159.88193,0.0068968777,0.0068968777,0,58.98173
19379,0,8958.915,159.42172,8958.915,159.42172,0.0068770256,0.0068770256,0,59.126907
19395,0,8941.762,159.11646,8941.762,159.11646,0.006863858,0.006863858,0,59.487602
19411,0,8938.755,159.06296,8938.755,159.06296,0.0068615493,0.0068615493,0,59.69256
19427,0,8951.139,159.28334,8951.139,159.28334,0.006871056,0.006871056,0,59.99446
19444,0,8968.1,159.58516,8968.1,159.58516,0.0068840766,0.0068840766,0,60.077362
19460,0,8989.388,159.964,8989.388,159.964,0.006900418,0.006900418,0,60.181026
19477,0,9008.527,160.30461,9008.527,160.30461,0.0069151116,0.0069151116,0,60.31378
19493,0,9031.241,160.70882,9031.241,160.70882,0.0069325482,0.0069325482,0,60.368103
19509,0,9049.31,161.03036,9049.31,161.03036,0.006946418,0.006946418,0,60.643555
19525,0,9066.419,161.33482,9066.419,161.33482,0.0069595524,0.0069595524,0,60.929756
19542,0,9080.04,161.57722,9080.04,161.57722,0.006970009,0.006970009,0,60.541546
19559,0,9081.294,161.59953,9081.294,161.59953,0.006970972,0.006970972,0,60.385914
19576,0,9080.2295,161.5806,9080.2295,161.5806,0.0069701546,0.0069701546,0,60.477535
19593,0,9066.605,161.33813,9066.605,161.33813,0.006959696,0.006959696,0,60.35562
19612,0,9043.3955,160.92511,9043.3955,160.92511,0.0069418787,0.0069418787,0,59.26985
19630,0,9012.632,160.37764,9012.632,160.37764,0.006918262,0.006918262,0,59.43543
19645,0,8966.067,159.549,8966.067,159.549,0.006882516,0.006882516,0,59.749268
19662,0,8925.868,158.83362,8925.868,158.83362,0.006851657,0.006851657,0,59.410988
19679,0,8884.617,158.09953,8884.617,158.09953,0.00681999,0.00681999,0,59.433624
19696,0,8845.493,157.4033,8845.493,157.4033,0.006789956,0.006789956,0,59.408955
19713,0,8812.672,156.81921,8812.672,156.81921,0.00676476,0.00676476,0,59.671795
19729,0,8777.527,156.1938,8777.527,156.1938,0.006737781,0.006737781,0,59.910965
19746,0,8752.95,155.75642,8752.95,155.75642,0.0067189136,0.0067189136,0,59.771603
19762,0,8730.111,155.34999,8730.111,155.34999,0.006701381,0.006701381,0,59.77191
19779,0,8713.507,155.0545,8713.507,155.0545,0.0066886344,0.0066886344,0,59.705353
19795,0,8704.244,154.88968,8704.244,154.88968,0.006681524,0.006681524,0,59.935066
19812,0,8696.566,154.75304,8696.566,154.75304,0.00667563,0.00667563,0,60.116512
19827,0,8698.948,154.79543,8698.948,154.79543,0.0066774585,0.0066774585,0,60.25486
19843,0,8704.21,154.88907,8704.21,154.88907,0.0066814977,0.0066814977,0,60.668247
19860,0,8712.073,155.02899,8712.073,155.02899,0.0066875345,0.0066875345,0,60.643528
19878,0,8712.504,155.03665,8712.504,155.03665,0.006687865,0.006687865,0,60.30033
19893,0,8704.273,154.8902,8704.273,154.8902,0.0066815466,0.0066815466,0,60.5737
19911,0,8692.591,154.68228,8692.591,154.68228,0.0066725784,0.0066725784,0,60.34142
19927,0,8674.99,154.36908,8674.99,154.36908,0.0066590663,0.0066590663,0,60.187336
19944,0,8655.394,154.02034,8655.394,154.02034,0.006644023,0.006644023,0,60.226604
19960,0,8636.08,153.67664,8636.08,153.67664,0.006629197,0.006629197,0,60.503895
19976,0,8617.253,153.3416,8617.253,153.3416,0.0066147437,0.0066147437,0,60.447205
19992,0,8601.95,153.06927,8601.95,153.06927,0.0066029965,0.0066029965,0,60.53937
20012,0,8588.792,152.83511,8588.792,152.83511,0.0065928954,0.0065928954,0,60.001514
20028,0,8579.928,152.67737,8579.928,152.67737,0.0065860907,0.0065860907,0,59.781326
20048,0,8579.341,152.66693,8579.341,152.66693,0.0065856404,0.0065856404,0,59.346176
20063,0,8584.442,152.75772,8584.442,152.75772,0.006589556,0.006589556,0,59.91382
20079,0,8593.229,152.91406,8593.229,152.91406,0.0065963017,0.0065963017,0,59.698742
20099,0,8601.506,153.06137,8601.506,153.06137,0.0066026556,0.0066026556,0,59.245754
20116,0,8609.432,153.20241,8609.432,153.20241,0.00660874,0.00660874,0,58.469273
20132,0,8621.684,153.42044,8621.684,153.42044,0.006618145,0.006618145,0,59.15879
20148,0,8631.934,153.60284,8631.934,153.60284,0.006626014,0.006626014,0,59.66523
20164,0,8639.064,153.72975,8639.064,153.72975,0.006631488,0.006631488,0,59.880432
20181,0,8637.892,153.70888,8637.892,153.70888,0.0066305874,0.0066305874,0,59.90173
20197,0,8626.277,153.50218,8626.277,153.50218,0.006621672,0.006621672,0,59.785355
20214,0,8612.758,153.2616,8612.758,153.2616,0.006611293,0.006611293,0,59.92938
20230,0,8588.158,152.82384,8588.158,152.82384,0.0065924088,0.0065924088,0,60.069496
20246,0,8554.303,152.22136,8554.303,152.22136,0.0065664193,0.0065664193,0,60.221844
20265,0,8507.432,151.38725,8507.432,151.38725,0.006530438,0.006530438,0,60.145454
20283,0,8443.264,150.24533,8443.264,150.24533,0.006481179,0.006481179,0,59.268917
20299,0,8376.882,149.06403,8376.882,149.06403,0.00643022,0.00643022,0,59.85212
20316,0,8299.38,147.68481,8299.38,147.68481,0.006370724,0.006370724,0,59.66255
20331,0,8216.205,146.20467,8216.205,146.20467,0.006306874,0.006306874,0,59.778645
20348,0,8127.6504,144.62877,8127.6504,144.62877,0.0062388936,0.0062388936,0,60.01339
20365,0,8029.3916,142.88017,8029.3916,142.88017,0.006163464,0.006163464,0,59.868572
20381,0,7939.48,141.28014,7939.48,141.28014,0.0060944417,0.0060944417,0,60.1554
20397,0,7851.7646,139.7192,7851.7646,139.7192,0.0060271057,0.0060271057,0,60.141167
20413,0,7771.749,138.29526,7771.749,138.29526,0.005965681,0.005965681,0,60.57015
20430,0,7700.2007,137.022,7700.2007,137.022,0.005910756,0.005910756,0,60.401165
20445,0,7633.456,135.83423,7633.456,135.83423,0.0058595184,0.0058595184,0,60.99391
20461,0,7585.733,134.98495,7585.733,134.98495,0.005822883,0.005822883,0,60.867405
20477,0,7550.568,134.35918,7550.568,134.35918,0.005795888,0.005795888,0,61.22016
20494,0,7530.7485,134.00647,7530.7485,134.00647,0.0057806736,0.0057806736,0,61.176304
20512,0,7522.9375,133.86748,7522.9375,133.86748,0.0057746773,0.0057746773,0,60.582928
20527,0,7524.9316,133.90295,7524.9316,133.90295,0.005776208,0.005776208,0,60.799065
20545,0,7542.1763,134.20984,7542.1763,134.20984,0.005789446,0.005789446,0,60.96945
20562,0,7566.879,134.64944,7566.879,134.64944,0.0058084093,0.0058084093,0,60.150696
20578,0,7597.113,135.18747,7597.113,135.18747,0.005831619,0.005831619,0,60.382526
20594,0,7627.1626,135.72223,7627.1626,135.72223,0.005854687,0.005854687,0,60.53829
20611,0,7656.405,136.24261,7656.405,136.24261,0.0058771353,0.0058771353,0,60.553986
20627,0,7684.292,136.73889,7684.292,136.73889,0.0058985436,0.0058985436,0,60.830166
20644,0,7705.7866,137.1214,7705.7866,137.1214,0.005915044,0.005915044,0,60.780582
20659,0,7719.382,137.36334,7719.382,137.36334,0.0059254807,0.0059254807,0,60.81858
20675,0,7723.6997,137.44017,7723.6997,137.44017,0.0059287953,0.0059287953,0,60.990112
