193817,0,0,3544.8967,185.25201,3544.8967,158.86089,0.024773499,0.051135566,0.024773499,5.064199,62.015022
193834,0,0,3545.1055,185.25882,3545.1055,158.87025,0.024775026,0.051138658,0.024775026,5.0645113,61.73261
193851,0,0,3545.7869,185.28096,3545.7869,158.90079,0.024780013,0.05114875,0.024780013,5.065531,61.576744
193868,0,0,3546.942,185.31851,3546.942,158.95256,0.024788467,0.051165864,0.024788467,5.067259,61.36727
193886,0,0,3548.5566,185.37102,3548.5566,159.02492,0.024800286,0.05118978,0.024800286,5.069675,61.091213
193900,0,0,3550.4495,185.43256,3550.4495,159.10973,0.02481414,0.05121782,0.02481414,5.0725074,61.075356
193918,0,0,3553.1025,185.51881,3553.1025,159.22864,0.024833558,0.051257115,0.024833558,5.076476,61.001534
193934,0,0,3555.9934,185.6128,3555.9934,159.35817,0.024854718,0.051299937,0.024854718,5.080802,61.0125
193951,0,0,3559.2466,185.71857,3559.2466,159.50397,0.024878528,0.051348124,0.024878528,5.085669,60.78453
193968,0,0,3562.863,185.83615,3562.863,159.66603,0.024904998,0.05140169,0.024904998,5.09108,60.788708
193984,0,0,3566.4573,185.953,3566.4573,159.82712,0.024931304,0.051454928,0.024931304,5.0964575,60.715637
194002,0,0,3570.9663,186.0996,3570.9663,160.02917,0.024964307,0.05152172,0.024964307,5.1032043,60.670647
194019,0,0,3575.4282,186.24466,3575.4282,160.22913,0.024996966,0.051587816,0.024996966,5.1098804,60.392643
194035,0,0,3580.0261,186.39417,3580.0261,160.4352,0.025030617,0.05165591,0.025030617,5.116759,60.4179
194051,0,0,3584.8687,186.5516,3584.8687,160.6522,0.025066061,0.05172764,0.025066061,5.1240044,60.37905
194068,0,0,3589.34,186.69696,3589.34,160.85257,0.025098788,0.051793873,0.025098788,5.1306944,60.466965
194084,0,0,3594.7651,186.87335,3594.7651,161.0957,0.025138495,0.05187423,0.025138495,5.1388116,60.394905
194101,0,0,3599.8977,187.04022,3599.8977,161.32571,0.025176061,0.051950257,0.025176061,5.146491,60.385277
194119,0,0,3604.874,187.202,3604.874,161.5487,0.025212483,0.052023966,0.025212483,5.1539364,60.070377
194134,0,0,3610.0195,187.36931,3610.0195,161.77931,0.025250144,0.05210018,0.025250144,5.1616344,60.42366
194151,0,0,3615.491,187.54718,3615.491,162.0245,0.025290191,0.05218123,0.025290191,5.1698213,60.24833
194169,0,0,3619.834,187.68839,3619.834,162.21913,0.025321977,0.052245554,0.025321977,5.176319,60.219643
194185,0,0,3624.7727,187.84895,3624.7727,162.44044,0.025358126,0.052318715,0.025358126,5.1837087,60.191246
194201,0,0,3629.271,187.99521,3629.271,162.64203,0.02539105,0.05238534,0.02539105,5.1904387,60.24109
194219,0,0,3633.9531,188.14743,3633.9531,162.85185,0.02542532,0.0524547,0.02542532,5.1974444,60.03836
194234,0,0,3638.7827,188.30444,3638.7827,163.0683,0.02546067,0.052526236,0.02546067,5.2046704,60.330135
194251,0,0,3641.711,188.39966,3641.711,163.19952,0.025482101,0.052569605,0.025482101,5.209051,60.145367
194267,0,0,3644.1377,188.47855,3644.1377,163.30827,0.025499862,0.052605554,0.025499862,5.2126827,60.190495
194284,0,0,3644.518,188.49092,3644.518,163.32533,0.025502646,0.05261119,0.025502646,5.2132516,60.276226
194301,0,0,3644.2664,188.48273,3644.2664,163.31404,0.025500804,0.05260746,0.025500804,5.212875,60.10086
194317,0,0,3641.851,188.4042,3641.851,163.2058,0.025483126,0.052571684,0.025483126,5.209261,60.18306
194335,0,0,3638.9583,188.31015,3638.9583,163.07617,0.025461953,0.052528832,0.025461953,5.2049327,59.958374
194351,0,0,3635.2769,188.19046,3635.2769,162.91118,0.025435008,0.0524743,0.025435008,5.1994247,60.05412
194369,0,0,3629.5178,188.00323,3629.5178,162.6531,0.025392856,0.052389,0.025392856,5.1908083,59.963303
194385,0,0,3624.1287,187.82803,3624.1287,162.4116,0.025353411,0.05230917,0.025353411,5.182745,60.041233
194400,0,0,3617.043,187.59766,3617.043,162.09406,0.02530155,0.052204214,0.02530155,5.172143,60.209473
194419,0,0,3609.973,187.36778,3609.973,161.77722,0.025249803,0.052099496,0.025249803,5.161566,59.937748
194434,0,0,3603.183,187.14703,3603.183,161.47295,0.025200108,0.051998924,0.025200108,5.1514063,60.255337
194451,0,0,3594.9175,186.8783,3594.9175,161.10252,0.02513961,0.051876485,0.02513961,5.139039,60.202957
194468,0,0,3588.0642,186.65549,3588.0642,160.7954,0.02508945,0.05177498,0.02508945,5.128786,60.097916
194485,0,0,3580.236,186.40099,3580.236,160.4446,0.025032153,0.05165902,0.025032153,5.117073,60.156815
194501,0,0,3573.3708,186.17778,3573.3708,160.13693,0.024981907,0.051557336,0.024981907,5.106802,60.122787
194518,0,0,3567.6858,185.99295,3567.6858,159.88217,0.024940297,0.051473126,0.024940297,5.0982957,60.215855
194534,0,0,3561.5017,185.79187,3561.5017,159.60503,0.024895035,0.05138153,0.024895035,5.0890436,60.112434
194551,0,0,3557.4167,185.65907,3557.4167,159.42197,0.024865134,0.051321015,0.024865134,5.082931,60.004314
194567,0,0,3553.0051,185.51566,3553.0051,159.22427,0.024832845,0.05125567,0.024832845,5.07633,60.132965
194584,0,0,3550.605,185.4376,3550.605,159.1167,0.02481528,0.051220123,0.02481528,5.0727396,60.0612
194600,0,0,3549.7776,185.4107,3549.7776,159.07962,0.024809223,0.051207867,0.024809223,5.0715017,60.082886
194618,0,0,3549.411,185.39877,3549.411,159.06319,0.024806539,0.051202435,0.024806539,5.0709534,60.095825
