elapsedTime,eventRecognized_tap,eventRecognized_hold,frq_rt, col_rt, frq_m, col_m, amp_rt,orbitSpeed,amp_m,shape_m_value, framerate
156868,0,0,4437.4785,126.51205,2720.611,47.157337,8.336002E-4,0.0015282034,0.0035075336,0.2244967,59.980705
156886,0,0,4481.471,127.08345,2721.4565,47.172474,9.1515045E-4,0.001579877,0.0035084288,0.224554,59.423695
156905,0,0,4479.014,127.051544,2722.298,47.18754,8.9985976E-4,0.0015701882,0.0035094183,0.22461735,59.139534
156926,0,0,4572.3237,128.2635,2723.1362,47.202545,7.9567713E-4,0.0015041737,0.0035099918,0.22465405,58.26178
156942,0,0,4617.443,128.84955,2724.1924,47.221455,8.152114E-4,0.0015165515,0.0035106603,0.22469683,58.855434
156958,0,0,4709.217,130.04156,2725.2446,47.24029,7.46982E-4,0.0014733186,0.00351093,0.2247141,59.025677
156974,0,0,4754.2334,130.62628,2726.2917,47.25904,0.0010108412,0.0016405105,0.0035116335,0.22475912,59.157784
156989,0,0,4799.3525,131.21231,2727.4468,47.27972,9.613676E-4,0.0016091621,0.0035127436,0.22483018,59.4988
157005,0,0,4844.471,131.79836,2728.7104,47.30234,9.7064395E-4,0.00161504,0.0035145779,0.22494757,59.68226
157022,0,0,4890.5117,132.39636,2729.9685,47.324863,6.6698855E-4,0.0014226313,0.0035159797,0.2250373,59.62282
157038,0,0,4935.836,132.98506,2731.334,47.34931,7.239239E-4,0.001458708,0.0035167441,0.22508621,59.854843
157054,0,0,4982.49,133.59103,2732.8108,47.37575,9.2642964E-4,0.001587024,0.0035173732,0.22512648,60.161083
157070,0,0,5029.043,134.1957,2734.4011,47.404224,8.884598E-4,0.0015629646,0.0035178366,0.22515613,60.263863
157086,0,0,5026.586,134.16379,2735.8794,47.43069,8.861383E-4,0.0015614936,0.0035190799,0.22523573,60.546135
157102,0,0,4889.8477,132.38773,2737.2478,47.45519,0.001633239,0.0020348874,0.0035232522,0.22550277,60.750088
157118,0,0,4803.119,131.26125,2738.296,47.473953,0.0014931576,0.001946126,0.0035287605,0.22585532,61.217823
157134,0,0,4718.2334,130.15869,2739.0273,47.48705,0.001519423,0.0019627688,0.0035330195,0.22612792,61.33573
157150,0,0,4434.188,126.46931,2739.3745,47.493263,0.0019529699,0.002237482,0.003538155,0.2264566,61.386482
157167,0,0,4099.7954,122.12598,2738.9316,47.485336,0.0018716799,0.0021859733,0.0035449003,0.22688834,61.00631
157184,0,0,3716.0762,117.141975,2737.4614,47.45901,0.002580674,0.002635221,0.0035540937,0.22747675,60.72284
157200,0,0,3553.2239,115.02673,2735.2854,47.420055,0.0028601217,0.0028122906,0.0035657887,0.22822528,60.84414
157217,0,0,3250.2024,111.09088,2732.61,47.37216,0.0028077252,0.00277909,0.0035781218,0.22901464,60.525093
157233,0,0,2940.8237,107.072464,2729.2944,47.312798,0.0022590326,0.002431416,0.0035851896,0.22946702,60.79193
