elapsedTime,eventRecognized_tap,eventRecognized_hold,frq_rt, col_rt, frq_m, col_m, amp_rt,orbitSpeed,amp_m,shape_m_value, framerate
635677,0,0,8687.997,181.71399,8687.997,153.98413,0.07794358,0.050347205,0.07794358,4.984566,59.19587
635694,0,0,8668.828,181.465,8668.828,153.64093,0.07776981,0.050237186,0.07776981,4.9734535,59.361565
635711,0,0,8650.142,181.22226,8650.142,153.30635,0.07760041,0.05012994,0.07760041,4.9626203,59.410984
635728,0,0,8634.953,181.02495,8634.953,153.0344,0.077462725,0.050042767,0.077462725,4.953815,59.29767
635743,0,0,8621.893,180.8553,8621.893,152.80055,0.077344336,0.049967814,0.077344336,4.9462442,59.927013
635760,0,0,8613.095,180.74103,8613.095,152.64302,0.077264585,0.04991732,0.077264585,4.9411435,59.86334
635778,0,0,8612.512,180.73344,8612.512,152.63258,0.0772593,0.049913976,0.0772593,4.940806,59.46867
635794,0,0,8617.575,180.79922,8617.575,152.72325,0.0773052,0.049943034,0.0773052,4.943741,59.772392
635811,0,0,8626.297,180.9125,8626.297,152.8794,0.07738426,0.049993094,0.07738426,4.9487977,59.807907
635827,0,0,8634.512,181.01921,8634.512,153.02649,0.07745873,0.050040238,0.07745873,4.95356,59.939365
635843,0,0,8642.379,181.1214,8642.379,153.16734,0.07753004,0.050085384,0.07753004,4.95812,60.160812
635861,0,0,8654.539,181.27937,8654.539,153.38507,0.07764027,0.050155174,0.07764027,4.9651694,59.807777
635877,0,0,8664.713,181.41153,8664.713,153.56725,0.0777325,0.050213568,0.0777325,4.9710674,60.112152
635894,0,0,8671.791,181.50348,8671.791,153.69397,0.07779666,0.050254185,0.07779666,4.9751706,60.03156
635911,0,0,8670.626,181.48834,8670.626,153.67311,0.07778611,0.050247505,0.07778611,4.974496,59.963276
635928,0,0,8659.099,181.3386,8659.099,153.4667,0.07768161,0.050181344,0.07768161,4.967813,59.457985
635944,0,0,8645.68,181.16428,8645.68,153.22644,0.07755997,0.050104335,0.07755997,4.960034,59.9811
635960,0,0,8621.264,180.84714,8621.264,152.78929,0.077338636,0.049964204,0.077338636,4.9458795,60.201145
635978,0,0,8587.661,180.41063,8587.661,152.18762,0.07703403,0.04977135,0.07703403,4.926399,60.038982
635993,0,0,8541.139,179.8063,8541.139,151.35464,0.0766123,0.04950435,0.0766123,4.89943,60.33909
636010,0,0,8477.45,178.979,8477.45,150.2143,0.07603496,0.049138833,0.07603496,4.8625083,60.06253
636027,0,0,8411.563,178.12314,8411.563,149.0346,0.075437695,0.048760694,0.075437695,4.8243127,60.161057
636044,0,0,8334.64,177.1239,8334.64,147.65729,0.07474037,0.048319206,0.07474037,4.779718,60.016407
636061,0,0,8252.085,176.05154,8252.085,146.17914,0.073992014,0.047845412,0.073992014,4.7318597,60.109154
636078,0,0,8164.191,174.9098,8164.191,144.60541,0.07319526,0.047340974,0.07319526,4.6809063,60.027927
636093,0,0,8066.665,173.64294,8066.665,142.8592,0.07231118,0.04678125,0.07231118,4.6243687,60.2716
636110,0,0,7977.424,172.48372,7977.424,141.26134,0.0715022,0.046269074,0.0715022,4.5726337,60.00091
636127,0,0,7890.3623,171.35281,7890.3623,139.70251,0.07071299,0.045769416,0.07071299,4.5221634,60.100822
636143,0,0,7810.944,170.32117,7810.944,138.28052,0.06999306,0.04531361,0.06999306,4.4761224,60.2109
636161,0,0,7739.929,169.39868,7739.929,137.009,0.069349304,0.044906046,0.069349304,4.434954,59.907013
636177,0,0,7673.6826,168.53815,7673.6826,135.82286,0.06874878,0.044525843,0.06874878,4.39655,60.101936
636193,0,0,7626.3154,167.92287,7626.3154,134.97476,0.068319395,0.044253994,0.068319395,4.3690906,60.35371
